domain_composition,score,Assay Name,Donor Name,Experimental Timepoint,T Cell Type,K562 Condition,Sorted Cell Group,Read Count
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,198566
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,170359
4-1BB,0.0,baseline,d1,0h,CD4,,prolif2_d1_0h_baseline_CD4_NA,141169
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,489083
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,562963
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,177172
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,61661
4-1BB,0.311581779126508,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,160672
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,260439
4-1BB,0.0727715082075411,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,123932
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,371186
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,177473
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,65399
4-1BB,0.311581779126508,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,134278
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,128587
4-1BB,0.0727715082075411,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,138585
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,260841
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,61682
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,99724
4-1BB,0.311581779126508,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,83203
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,110241
4-1BB,0.0727715082075411,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,112496
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,239619
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,100968
4-1BB,0.0,baseline,d1,0h,CD8,,prolif2_d1_0h_baseline_CD8_NA,105914
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,74931
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,237959
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,260595
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,36617
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,75487
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,187886
4-1BB,0.0854075483161083,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,121328
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,236956
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,90196
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,93081
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,133499
4-1BB,0.0854075483161083,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,100527
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,202269
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,219761
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,81684
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,97744
4-1BB,0.0854075483161083,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,105778
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,195690
4-1BB,0.530605545813401,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,305837
